Temperature_C,Humidity_pct,Soil_Moisture_pct,Rainfall_24h_mm,Forecast_Rainfall_mm,Crop_Type,Growth_Stage,Solar_Radiation_MJ,Evapotranspiration_mm,Irrigation_Action
16.94,61.41,75.2,0.0,4.81,Rice,Seedling,12.14,2.69,0
27.63,71.11,5.91,0.0,0.0,Tomato,Fruiting,8.49,2.13,2
20.8,56.78,53.43,0.0,0.0,Corn,Seedling,12.14,3.17,1
22.96,68.27,21.13,1.27,11.56,Soybean,Seedling,16.85,3.98,2
20.79,45.6,48.71,0.0,0.0,Tomato,Seedling,9.93,2.91,0
37.97,35.04,52.8,0.0,2.95,Tomato,Vegetative,17.6,8.13,1
24.91,68.36,86.5,0.0,0.32,Rice,Vegetative,2.0,0.5,1
17.6,86.16,40.17,0.0,0.0,Rice,Vegetative,14.79,2.0,2
30.76,45.06,33.62,0.0,0.64,Rice,Seedling,18.06,6.69,2
16.45,78.33,56.03,0.0,0.0,Corn,Fruiting,20.37,3.34,0
26.46,60.65,29.91,1.87,0.0,Rice,Vegetative,7.49,2.14,2
11.28,39.96,72.42,0.5,5.05,Tomato,Vegetative,16.61,3.85,0
15.7,43.03,49.85,2.45,0.0,Wheat,Fruiting,23.31,6.06,0
26.38,60.24,51.8,0.0,0.0,Soybean,Flowering,26.39,7.56,1
30.17,53.93,58.61,0.83,0.0,Corn,Vegetative,15.02,5.03,1
26.2,40.31,44.03,0.0,0.18,Corn,Fruiting,10.24,3.58,0
24.19,34.59,28.97,0.0,0.0,Rice,Fruiting,22.55,7.88,1
22.89,47.3,47.25,0.0,0.0,Corn,Fruiting,18.35,5.58,1
14.65,62.91,38.63,0.0,0.06,Wheat,Seedling,24.9,5.06,0
19.96,59.9,54.66,0.0,0.62,Tomato,Flowering,24.12,5.93,1
21.78,52.48,70.05,0.0,0.0,Tomato,Fruiting,6.75,1.89,0
32.4,63.03,23.41,0.0,0.0,Corn,Fruiting,17.4,5.46,1
27.41,75.6,21.27,0.0,0.0,Rice,Fruiting,16.46,3.78,0
12.66,65.91,58.34,1.1,0.0,Corn,Vegetative,19.66,3.6,0
27.27,58.18,33.15,0.0,1.63,Corn,Flowering,15.15,4.54,1
22.3,73.92,54.77,0.0,0.0,Soybean,Fruiting,25.03,5.27,0
20.26,45.6,55.9,0.0,0.0,Soybean,Flowering,14.04,4.05,0
29.28,56.63,4.31,0.72,0.67,Tomato,Flowering,14.0,4.46,2
32.22,56.98,59.59,11.75,2.18,Rice,Fruiting,20.38,6.88,1
31.52,41.45,19.64,1.1,0.0,Tomato,Seedling,14.42,5.6,2
19.13,53.7,51.23,0.0,1.3,Corn,Flowering,15.04,3.89,2
22.84,28.88,31.67,0.0,0.0,Tomato,Flowering,9.73,3.43,2
27.32,88.68,43.54,0.0,0.0,Soybean,Vegetative,10.99,1.72,0
31.83,45.94,77.65,0.0,4.42,Wheat,Vegetative,8.56,3.21,0
21.65,83.79,62.82,0.56,0.0,Wheat,Fruiting,12.51,2.04,0
23.7,60.57,68.86,0.0,5.08,Corn,Flowering,10.51,2.82,0
17.26,68.47,58.59,0.0,6.3,Corn,Flowering,9.45,1.91,0
16.63,52.67,65.12,0.0,0.0,Corn,Seedling,13.25,3.23,0
30.69,63.12,56.13,0.0,0.0,Tomato,Seedling,19.83,6.01,1
34.49,69.76,52.29,0.0,0.0,Tomato,Vegetative,9.29,2.75,0
24.5,69.97,74.39,0.0,2.01,Soybean,Fruiting,16.81,4.01,0
32.02,71.62,51.94,0.0,0.0,Tomato,Vegetative,19.48,5.32,0
27.53,54.48,92.63,0.0,0.0,Soybean,Seedling,7.96,2.5,2
20.48,52.79,70.03,0.6,3.69,Wheat,Flowering,9.3,2.52,0
27.53,36.09,21.16,0.0,0.0,Tomato,Flowering,24.09,8.98,2
35.77,67.85,42.66,0.0,0.0,Soybean,Seedling,16.29,5.09,0
24.75,76.24,61.31,0.0,0.0,Corn,Seedling,17.82,3.8,0
35.95,84.24,50.26,0.0,0.0,Wheat,Flowering,12.5,2.74,0
6.66,64.58,73.82,1.72,0.0,Soybean,Flowering,12.64,1.89,0
30.75,48.5,60.76,0.0,0.0,Soybean,Vegetative,4.75,1.7,0
25.61,34.54,17.41,0.0,0.0,Soybean,Flowering,12.58,4.55,2
22.91,75.63,79.79,2.64,0.0,Wheat,Fruiting,19.72,4.08,0
25.64,33.06,34.35,0.0,0.0,Rice,Seedling,12.85,4.7,2
11.09,54.89,44.02,0.0,0.0,Tomato,Seedling,25.04,5.0,1
23.46,56.64,38.11,0.78,0.0,Wheat,Vegetative,13.04,3.64,0
27.5,58.96,64.71,0.0,3.65,Corn,Flowering,6.47,1.93,0
35.35,60.54,39.59,2.54,4.47,Wheat,Flowering,18.77,6.45,0
21.37,62.07,38.96,0.0,1.85,Corn,Flowering,20.82,5.17,0
19.34,23.77,37.1,0.0,0.0,Wheat,Fruiting,10.99,3.67,0
21.49,60.22,15.91,0.0,0.0,Corn,Fruiting,20.47,5.22,2
31.41,26.56,23.26,3.25,8.19,Soybean,Seedling,12.52,5.43,0
27.3,70.98,26.25,0.07,0.0,Rice,Flowering,22.03,5.51,2
21.29,51.67,44.81,0.29,0.0,Tomato,Fruiting,20.2,5.65,1
28.59,27.64,55.02,2.82,0.0,Rice,Vegetative,15.51,6.29,1
25.68,47.79,58.3,0.24,0.0,Wheat,Flowering,19.92,6.44,0
31.78,51.45,70.03,2.3,1.08,Tomato,Flowering,19.98,7.1,0
20.09,77.86,76.71,0.0,0.0,Rice,Flowering,28.54,5.23,0
22.71,62.95,41.16,0.0,0.0,Tomato,Fruiting,14.91,3.78,1
22.26,65.17,52.79,3.41,0.0,Soybean,Fruiting,6.65,1.62,0
14.76,77.72,58.01,1.43,0.0,Rice,Vegetative,11.39,1.8,0
27.07,58.56,5.65,4.55,0.0,Tomato,Fruiting,18.58,5.52,2
26.83,71.31,27.0,0.0,0.0,Tomato,Fruiting,12.34,3.03,1
25.04,70.26,48.69,1.42,0.0,Tomato,Fruiting,11.78,2.83,0
23.36,40.7,43.5,1.42,2.24,Tomato,Vegetative,14.83,4.84,0
15.09,82.09,69.62,0.0,2.86,Corn,Flowering,24.86,3.56,0
22.06,38.7,56.48,0.0,0.0,Corn,Fruiting,10.03,3.22,0
22.6,73.76,18.54,0.0,0.0,Corn,Seedling,5.75,1.22,2
19.38,37.24,58.63,0.56,0.0,Soybean,Seedling,24.19,7.33,0
23.87,69.02,55.94,0.0,0.0,Soybean,Flowering,18.12,4.32,0
27.83,87.93,66.64,0.0,0.0,Rice,Fruiting,6.15,1.0,0
38.2,56.81,64.1,0.0,0.0,Corn,Seedling,12.9,4.88,0
26.22,56.15,45.76,0.0,0.0,Rice,Fruiting,17.87,5.36,2
26.8,69.16,75.84,0.0,3.6,Tomato,Fruiting,14.1,3.59,0
24.48,55.06,31.48,3.63,5.67,Wheat,Fruiting,12.24,3.57,0
11.57,87.27,43.26,0.0,0.0,Tomato,Flowering,15.67,1.69,1
24.81,62.88,59.24,0.31,0.0,Rice,Seedling,25.92,6.92,1
25.42,55.2,41.45,0.0,0.0,Wheat,Fruiting,13.88,4.13,0
42.24,51.9,44.99,0.0,0.0,Soybean,Fruiting,12.03,5.15,2
23.65,46.01,87.73,0.0,0.0,Wheat,Flowering,14.43,4.52,2
27.11,50.58,54.93,0.0,1.97,Tomato,Seedling,11.82,3.84,0
24.76,54.74,53.31,0.0,0.54,Rice,Flowering,6.09,1.79,1
16.82,52.69,35.24,0.0,8.38,Corn,Seedling,14.62,3.58,0
33.0,50.13,10.03,0.0,0.0,Tomato,Vegetative,14.38,5.31,2
30.26,91.48,52.21,0.0,2.27,Rice,Flowering,11.36,1.64,1
30.54,44.55,65.48,0.0,0.0,Tomato,Vegetative,10.77,3.99,0
18.63,62.2,47.16,0.66,1.9,Wheat,Vegetative,12.77,2.94,0
34.82,68.89,54.9,1.26,0.16,Soybean,Flowering,22.69,6.85,0
15.19,69.45,85.33,0.23,0.0,Wheat,Vegetative,26.94,5.05,0
29.11,59.12,75.8,0.0,0.0,Corn,Vegetative,19.28,5.95,0
40.33,56.39,50.19,0.0,0.0,Rice,Vegetative,13.77,5.44,1
18.07,66.77,58.22,0.0,0.0,Wheat,Fruiting,9.78,2.08,0
21.04,64.0,22.41,1.68,0.26,Rice,Vegetative,13.73,3.29,2
25.7,56.12,36.27,0.0,0.0,Tomato,Vegetative,24.26,7.19,0
21.48,36.57,41.46,2.94,0.16,Wheat,Flowering,18.27,5.88,0
14.15,52.98,36.98,0.0,4.32,Wheat,Flowering,18.89,4.26,0
25.48,42.8,51.29,0.0,0.48,Corn,Seedling,12.45,4.19,2
17.56,49.99,89.95,0.0,0.0,Wheat,Vegetative,16.81,4.32,0
28.32,60.5,78.8,1.13,0.0,Soybean,Vegetative,18.84,5.62,0
18.56,65.38,59.17,0.0,0.0,Rice,Flowering,13.76,3.03,0
35.85,86.71,65.51,0.0,0.0,Tomato,Fruiting,7.49,1.51,0
19.52,51.94,36.56,0.0,4.02,Soybean,Seedling,14.01,3.73,0
22.75,71.62,82.73,0.0,0.0,Soybean,Vegetative,6.33,1.41,0
30.69,64.59,16.83,0.0,0.0,Wheat,Fruiting,18.67,5.54,2
16.38,79.44,76.45,0.0,1.21,Soybean,Vegetative,12.73,2.03,0
26.59,68.64,60.84,1.48,0.68,Tomato,Fruiting,18.43,4.71,0
34.15,44.87,27.28,0.0,0.0,Soybean,Seedling,15.09,5.99,1
13.75,34.15,46.28,0.0,0.0,Soybean,Flowering,22.95,6.04,1
26.29,64.67,27.6,0.0,0.0,Wheat,Vegetative,18.23,4.91,0
26.82,52.07,25.67,0.0,0.0,Rice,Seedling,22.15,7.04,2
30.47,45.3,12.5,0.0,2.0,Rice,Vegetative,18.53,6.8,2
16.34,40.99,65.88,6.02,0.0,Corn,Fruiting,10.62,2.86,0
15.76,62.41,79.21,0.0,0.0,Rice,Seedling,8.94,1.89,0
28.65,82.62,9.46,1.25,0.0,Soybean,Seedling,20.16,4.02,2
27.08,53.87,84.5,0.0,0.0,Corn,Flowering,16.48,5.17,0
26.75,68.85,50.65,4.41,0.14,Corn,Fruiting,9.54,2.44,0
27.43,58.47,54.28,2.03,0.41,Wheat,Vegetative,14.21,4.26,0
20.24,40.66,19.06,1.04,0.0,Corn,Flowering,13.73,4.14,2
26.63,71.02,77.81,0.0,0.0,Wheat,Flowering,21.33,5.25,0
27.05,43.58,49.7,0.0,0.89,Tomato,Flowering,14.18,4.91,1
20.0,60.32,75.34,0.76,1.37,Corn,Seedling,17.16,4.2,0
38.06,54.88,66.86,1.86,0.0,Wheat,Vegetative,13.73,5.3,0
28.32,73.4,77.72,0.0,8.49,Tomato,Flowering,11.66,2.85,0
16.66,44.13,38.03,0.0,0.0,Tomato,Vegetative,20.89,5.54,1
29.6,65.86,44.72,0.0,0.15,Wheat,Vegetative,12.37,3.52,0
18.18,47.4,38.66,1.99,0.0,Corn,Seedling,19.12,5.13,1
30.51,52.33,63.61,0.0,0.0,Tomato,Flowering,22.32,7.66,0
33.11,20.0,44.6,0.0,0.0,Rice,Vegetative,17.72,8.3,1
19.26,91.38,80.53,0.0,0.34,Rice,Seedling,12.21,1.37,0
31.74,68.26,70.53,0.0,0.0,Corn,Seedling,8.44,2.42,0
27.89,48.49,11.71,0.0,0.66,Tomato,Seedling,28.36,9.57,2
30.75,43.13,70.76,0.0,0.0,Wheat,Seedling,20.02,7.54,0
38.28,52.57,60.89,0.0,0.0,Corn,Flowering,18.26,7.25,0
23.28,70.75,45.62,0.0,3.99,Rice,Flowering,25.69,5.87,1
19.72,31.62,53.96,0.0,0.0,Tomato,Vegetative,22.08,7.05,1
18.77,57.88,50.22,0.98,0.0,Rice,Fruiting,19.65,4.8,1
19.29,86.56,70.49,0.66,0.0,Soybean,Fruiting,15.71,2.2,0
24.46,42.99,39.44,0.0,0.0,Soybean,Vegetative,14.92,4.9,0
27.39,61.21,58.63,0.0,2.82,Wheat,Fruiting,22.79,6.6,0
26.94,93.05,56.99,0.43,1.21,Wheat,Fruiting,9.26,1.12,0
30.79,69.48,40.36,1.39,1.99,Wheat,Fruiting,20.42,5.64,0
25.09,61.89,54.13,4.32,0.0,Tomato,Flowering,5.96,1.62,1
35.17,67.6,91.43,0.0,1.93,Wheat,Seedling,8.96,2.78,0
23.15,53.99,36.01,2.58,0.0,Rice,Vegetative,15.11,4.32,2
44.04,79.49,39.38,0.0,0.0,Corn,Fruiting,23.12,6.66,1
29.38,54.01,33.25,1.02,0.0,Soybean,Seedling,15.5,5.1,0
19.0,30.61,35.86,0.0,1.32,Wheat,Fruiting,14.17,4.47,0
17.5,54.13,68.89,0.12,0.0,Wheat,Fruiting,11.76,2.89,0
28.38,45.5,59.73,0.0,0.0,Corn,Flowering,21.12,7.41,0
23.44,55.78,49.82,0.0,0.0,Corn,Fruiting,17.17,4.84,0
30.0,56.11,67.25,0.0,0.0,Wheat,Flowering,15.03,4.9,0
28.31,77.96,67.8,0.0,0.0,Corn,Vegetative,23.48,5.23,1
24.49,70.43,49.09,0.0,0.0,Wheat,Seedling,8.02,1.9,0
19.07,63.95,23.08,0.0,0.0,Soybean,Fruiting,22.97,5.23,1
14.4,59.96,71.89,0.0,0.0,Rice,Flowering,8.17,1.71,2
21.87,44.12,51.78,8.09,0.0,Tomato,Flowering,11.76,3.59,1
30.99,27.28,40.9,0.0,0.0,Corn,Seedling,19.15,8.2,1
26.5,61.7,40.27,6.04,0.0,Soybean,Fruiting,18.63,5.25,1
16.28,71.92,71.64,0.92,0.0,Soybean,Seedling,17.96,3.34,0
26.21,58.37,56.04,0.0,0.0,Corn,Vegetative,13.91,4.06,0
27.7,51.98,42.31,0.0,0.05,Soybean,Flowering,20.69,6.71,1
18.81,66.97,29.98,0.0,0.0,Wheat,Seedling,18.74,4.06,0
26.08,58.75,70.57,0.0,0.0,Tomato,Seedling,21.91,6.35,0
25.41,85.29,66.95,0.0,1.26,Wheat,Seedling,14.66,2.5,0
17.0,78.49,62.81,0.0,0.0,Corn,Vegetative,18.3,3.04,0
27.5,74.39,6.63,1.42,4.69,Wheat,Flowering,22.5,5.31,2
28.93,71.37,49.55,0.0,0.0,Corn,Flowering,24.66,6.34,1
32.58,40.65,37.51,2.55,0.0,Corn,Vegetative,12.51,4.99,0
32.38,69.94,35.93,0.0,0.0,Soybean,Fruiting,9.55,2.7,0
15.36,65.64,71.04,4.57,0.0,Corn,Seedling,10.37,2.07,0
18.44,69.1,69.4,5.13,0.0,Rice,Fruiting,9.12,1.89,0
28.61,67.39,58.41,0.0,0.0,Rice,Seedling,30.0,8.18,1
28.6,66.79,70.32,0.0,0.0,Soybean,Seedling,26.22,7.21,0
28.61,100.0,35.75,7.0,0.0,Corn,Seedling,16.08,0.5,0
45.0,58.86,30.7,0.0,0.0,Tomato,Seedling,10.87,4.5,2
29.0,74.05,52.31,0.0,2.34,Tomato,Fruiting,14.69,3.6,0
32.95,52.94,32.17,0.0,0.0,Tomato,Seedling,16.37,5.86,2
31.68,71.86,63.58,0.0,0.0,Wheat,Vegetative,6.92,1.87,0
29.56,74.09,40.09,0.0,0.0,Tomato,Flowering,15.83,3.92,1
22.79,65.47,78.16,4.81,0.0,Corn,Flowering,17.89,4.39,0
30.31,85.04,33.73,0.0,0.0,Soybean,Flowering,11.47,2.2,0
19.59,46.74,92.69,0.0,0.0,Soybean,Flowering,14.29,4.01,0
23.34,52.69,89.95,0.0,2.37,Tomato,Seedling,19.2,5.59,2
21.6,63.19,50.44,0.0,0.0,Wheat,Fruiting,15.93,3.92,0
25.57,73.21,75.28,0.0,0.07,Corn,Vegetative,11.8,2.72,0
41.2,62.69,34.43,0.0,0.0,Corn,Vegetative,15.79,5.85,1
11.93,79.29,80.66,0.0,1.58,Tomato,Flowering,22.91,3.19,0
29.8,50.07,42.09,0.0,0.0,Wheat,Flowering,23.01,7.96,1
13.71,42.89,26.51,0.0,0.0,Wheat,Seedling,10.14,2.48,0
21.7,64.62,7.58,0.0,0.0,Corn,Seedling,22.51,5.44,2
32.62,58.84,40.58,0.0,0.08,Wheat,Fruiting,14.27,4.75,1
25.45,68.14,56.98,0.0,0.42,Tomato,Seedling,17.31,4.35,0
17.46,59.59,80.3,0.0,0.0,Soybean,Fruiting,19.4,4.47,0
19.99,54.9,52.22,0.0,0.71,Soybean,Seedling,7.72,2.01,0
29.76,58.88,67.45,0.81,0.0,Wheat,Fruiting,16.79,5.27,0
19.89,60.43,43.56,0.0,0.0,Soybean,Seedling,21.62,5.27,0
26.52,55.43,41.58,2.77,0.0,Soybean,Vegetative,16.07,4.89,1
25.32,56.95,70.31,0.0,0.0,Tomato,Flowering,16.85,4.9,0
20.44,53.95,6.07,0.0,0.0,Corn,Fruiting,19.8,5.28,2
40.01,72.85,45.33,0.0,0.0,Tomato,Vegetative,13.83,4.28,1
29.44,62.91,40.36,0.0,0.27,Wheat,Flowering,15.47,4.58,0
10.82,93.85,91.07,0.0,0.0,Wheat,Flowering,17.0,1.24,0
26.31,62.41,39.26,0.38,0.0,Corn,Seedling,17.55,4.88,0
20.37,51.74,61.0,0.0,0.0,Soybean,Seedling,12.53,3.42,0
30.97,100.0,73.45,0.0,2.39,Wheat,Flowering,20.6,0.5,0
19.45,66.2,24.16,0.0,1.13,Corn,Flowering,11.75,2.62,1
24.2,74.85,50.58,0.0,0.0,Corn,Seedling,11.77,2.55,0
28.53,68.88,41.38,0.0,0.0,Tomato,Vegetative,15.24,4.05,1
31.06,69.35,67.76,0.0,0.0,Corn,Seedling,19.48,5.42,0
16.6,68.03,69.31,0.0,0.0,Tomato,Flowering,9.73,1.95,0
22.66,43.47,43.2,0.0,0.0,Rice,Flowering,13.79,4.32,2
21.68,65.51,31.82,0.0,0.0,Wheat,Seedling,10.43,2.49,0
20.43,40.13,69.08,0.46,0.0,Soybean,Fruiting,13.18,4.01,0
37.36,57.38,41.94,0.0,0.0,Wheat,Seedling,11.35,4.2,0
27.83,49.12,14.04,0.0,3.58,Wheat,Seedling,15.35,5.14,2
16.17,65.36,24.84,0.0,0.0,Soybean,Vegetative,6.53,1.34,2
31.43,65.01,56.54,0.0,0.0,Soybean,Flowering,18.2,5.45,0
39.86,67.22,18.5,0.0,0.0,Tomato,Fruiting,19.44,6.6,2
32.23,64.31,84.44,2.71,0.0,Soybean,Seedling,8.85,2.72,0
14.36,50.9,34.76,0.0,0.0,Tomato,Vegetative,15.33,3.55,0
21.61,56.08,50.9,0.0,0.0,Tomato,Vegetative,20.64,5.54,1
33.87,73.81,51.51,0.0,0.46,Tomato,Seedling,8.09,2.2,0
20.05,76.02,41.09,0.0,0.0,Corn,Fruiting,24.27,4.63,0
28.11,42.8,0.21,0.0,0.0,Wheat,Flowering,16.67,5.95,2
30.42,37.04,46.51,0.0,0.22,Wheat,Fruiting,11.6,4.57,0
18.51,49.1,36.0,0.0,0.0,Corn,Vegetative,12.15,3.24,1
24.58,75.68,55.67,0.0,0.0,Soybean,Seedling,15.97,3.43,0
5.0,78.22,61.2,0.0,0.0,Tomato,Vegetative,14.39,1.57,0
17.83,46.13,56.08,1.63,2.89,Corn,Flowering,18.16,4.88,0
23.23,64.61,83.04,0.0,0.0,Tomato,Fruiting,12.4,3.11,0
16.27,87.52,48.95,0.0,0.0,Rice,Vegetative,12.25,1.52,1
36.43,66.23,36.16,0.0,0.0,Wheat,Vegetative,16.3,5.28,0
14.99,81.32,25.95,0.0,0.52,Wheat,Flowering,11.63,1.69,0
21.92,74.98,50.63,0.0,0.0,Wheat,Vegetative,13.56,2.77,0
25.92,46.35,55.01,6.63,0.0,Tomato,Vegetative,19.58,6.45,1
35.09,57.15,34.72,0.0,0.0,Soybean,Flowering,6.58,2.34,1
14.95,60.52,63.46,0.0,0.0,Wheat,Flowering,16.08,3.4,0
33.14,61.56,42.69,0.0,0.0,Wheat,Vegetative,18.24,5.93,0
25.07,73.74,26.67,1.34,0.63,Tomato,Vegetative,20.99,4.74,2
18.13,66.13,60.9,0.01,0.0,Soybean,Flowering,15.49,3.33,0
28.23,20.0,36.27,1.49,0.0,Wheat,Flowering,14.48,6.13,1
26.39,40.31,47.82,0.0,0.88,Tomato,Flowering,8.98,3.15,1
20.8,27.19,34.2,0.0,0.0,Wheat,Vegetative,12.77,4.32,0
25.49,62.63,37.17,0.0,0.0,Corn,Vegetative,19.99,5.44,0
22.3,63.61,55.22,0.0,0.0,Corn,Vegetative,9.9,2.46,0
25.79,64.25,45.84,0.0,0.0,Wheat,Flowering,4.71,1.26,0
29.63,45.62,79.29,0.0,0.5,Tomato,Flowering,21.2,7.63,0
36.1,70.11,62.45,0.2,0.0,Tomato,Seedling,13.69,4.15,0
16.34,70.74,67.38,3.81,0.0,Tomato,Seedling,19.72,3.74,0
39.93,41.17,35.22,0.0,0.0,Soybean,Seedling,9.84,4.48,0
11.34,38.01,11.91,0.67,0.0,Rice,Flowering,14.85,3.5,2
23.94,60.0,34.38,0.0,0.0,Tomato,Seedling,12.34,3.35,2
29.12,86.88,40.37,1.23,0.0,Tomato,Seedling,16.97,2.97,1
26.97,85.5,48.62,2.25,1.69,Wheat,Vegetative,15.7,2.75,0
20.64,68.45,53.2,0.5,0.0,Tomato,Vegetative,18.56,4.12,0
23.54,49.05,61.66,0.63,0.0,Rice,Fruiting,13.88,4.21,0
21.55,73.3,59.85,0.0,0.0,Wheat,Flowering,20.26,4.24,0
20.87,53.21,73.89,0.0,0.0,Tomato,Fruiting,11.44,3.11,0
30.95,48.49,38.49,0.0,0.0,Rice,Vegetative,19.53,7.03,2
27.5,27.84,47.46,0.0,0.09,Wheat,Vegetative,21.22,8.4,0
20.15,61.54,59.61,0.0,1.02,Soybean,Fruiting,16.35,3.96,0
31.3,50.55,49.88,0.0,0.0,Soybean,Fruiting,10.65,3.78,0
27.15,61.45,74.85,0.0,2.3,Wheat,Vegetative,5.4,1.55,0
30.69,25.51,56.33,0.59,0.0,Rice,Seedling,13.78,5.93,0
29.41,62.55,21.92,1.41,0.0,Rice,Seedling,9.52,2.83,2
19.2,23.53,43.32,0.0,0.0,Corn,Seedling,12.34,4.11,1
21.08,76.32,54.94,0.0,0.61,Corn,Vegetative,26.05,5.07,1
30.23,67.83,91.98,0.0,0.0,Tomato,Fruiting,13.91,3.9,0
29.27,55.82,40.43,0.0,7.28,Corn,Seedling,7.86,2.53,1
24.85,68.44,32.11,0.61,11.84,Wheat,Vegetative,11.99,2.95,0
25.82,45.33,55.42,0.0,0.0,Rice,Flowering,19.85,6.59,1
33.94,61.09,55.69,0.0,0.0,Rice,Vegetative,16.24,5.39,1
20.86,71.92,52.98,0.0,0.0,Wheat,Seedling,18.47,3.89,0
28.83,20.0,35.68,0.0,0.0,Soybean,Seedling,24.34,10.44,1
23.58,53.29,68.34,0.0,2.67,Corn,Seedling,14.66,4.26,0
23.48,59.66,33.62,0.0,0.0,Wheat,Vegetative,22.51,6.07,1
32.69,57.06,38.75,0.0,0.0,Tomato,Fruiting,18.39,6.26,1
30.78,81.86,41.04,0.0,0.0,Soybean,Vegetative,12.05,2.56,0
30.69,43.14,65.66,3.96,0.0,Wheat,Vegetative,22.16,8.33,1
34.14,50.68,49.28,0.0,0.0,Corn,Flowering,16.11,6.04,1
25.15,31.26,22.88,0.0,0.0,Soybean,Seedling,21.69,7.95,1
29.77,82.65,32.85,0.0,0.0,Tomato,Fruiting,14.1,2.87,1
22.83,56.31,87.82,0.0,0.0,Soybean,Flowering,5.82,1.61,2
27.27,53.42,69.21,0.0,0.0,Rice,Vegetative,4.04,1.28,0
24.09,59.21,67.13,0.0,4.17,Wheat,Flowering,17.66,4.86,1
25.68,69.54,51.81,0.0,0.0,Soybean,Seedling,12.36,3.05,0
29.17,65.21,79.13,1.35,0.0,Wheat,Seedling,5.88,1.68,0
19.27,99.72,38.74,1.28,0.38,Wheat,Fruiting,17.55,0.5,0
39.65,66.81,59.1,0.0,0.0,Wheat,Vegetative,19.04,6.48,0
17.96,53.02,43.26,0.0,0.0,Rice,Seedling,15.46,3.9,1
16.5,51.58,47.59,0.0,0.0,Soybean,Flowering,14.27,3.5,0
33.11,54.11,59.28,0.0,0.0,Rice,Flowering,18.87,6.69,1
30.54,37.47,39.85,0.92,9.64,Corn,Flowering,14.13,5.56,0
29.37,60.6,39.24,0.39,0.0,Soybean,Seedling,13.25,4.04,0
29.4,71.75,40.25,0.0,4.46,Soybean,Fruiting,9.22,2.38,1
24.91,50.8,8.48,0.0,3.44,Rice,Fruiting,8.26,2.55,2
18.72,47.89,65.98,0.0,1.17,Soybean,Fruiting,15.14,4.11,0
25.53,82.74,34.15,0.06,0.0,Rice,Fruiting,11.02,2.04,2
20.26,38.6,85.26,1.54,2.22,Wheat,Seedling,23.47,7.2,0
31.83,28.98,34.63,0.0,2.68,Corn,Fruiting,15.39,6.62,1
23.97,42.71,73.24,0.0,0.99,Wheat,Seedling,9.6,3.12,0
19.22,36.89,12.09,2.05,9.93,Tomato,Vegetative,16.29,4.93,0
22.75,65.79,66.91,0.0,0.0,Tomato,Seedling,14.38,3.51,0
27.89,54.59,67.24,0.83,0.0,Wheat,Fruiting,17.14,5.43,0
21.05,56.7,77.39,0.31,0.57,Rice,Vegetative,17.19,4.52,0
19.24,77.29,25.78,0.52,3.45,Tomato,Fruiting,11.27,2.05,2
26.71,49.63,33.02,0.96,0.0,Tomato,Fruiting,16.32,5.3,2
26.71,71.63,63.0,0.0,0.0,Rice,Seedling,25.08,6.12,1
